Category,Uri,Marketbasis,Product
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MG1RS_R50_1_A,PADD 5,REFORMULATED BLENDED WITH FUEL ETHANOL
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRSP11_A,PADD 1,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.M_EPOOXXFE_SKR_NUS_MBBL_A,US,OXYGENATES - RENEWABLES - OTHER HYDROCARBONS
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_REC_1_A,EAST COAST,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R3B_1_M,TEXAS GULF COAST,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R2C_1_M,OKLAHOMA - KANSAS - MISSOURI,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRSP31_M,PADD 3,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MG1RS_NUS_1_A,US,REFORMULATED BLENDED WITH FUEL ETHANOL
EIA_RFST,model://EIA_RFST/US.OIL.EIA.M_EPOOXXFE_SKR_R30_MBBL_A,PADD 3,OXYGENATES - RENEWABLES - OTHER HYDROCARBONS
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRSUS1_A,US,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRSP21_A,PADD 2,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R2B_1_M,MINNESOTA - WISCONSIN - NORTH DAKOTA - SOUTH DAKOTA,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_REC_1_M,EAST COAST,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R3A_1_M,TEXAS INLAND,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.M_EPOOXXFE_SKR_R3B_MBBL_A,TEXAS GULF COAST,OXYGENATES - RENEWABLES - OTHER HYDROCARBONS
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R2A_1_M,INDIANA - ILLINOIS - KENTUCKY,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_RAP_1_A,APPALACHIAN NO 1,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.M_EPOOXXFE_SKR_R3B_MBBL_M,TEXAS GULF COAST,OXYGENATES - RENEWABLES - OTHER HYDROCARBONS
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R2A_1_A,INDIANA - ILLINOIS - KENTUCKY,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRSP51_A,PADD 5,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_RAP_1_M,APPALACHIAN NO 1,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R3A_1_A,TEXAS INLAND,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R2B_1_A,MINNESOTA - WISCONSIN - NORTH DAKOTA - SOUTH DAKOTA,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRSUS1_M,US,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MG1RS_R50_1_M,PADD 5,REFORMULATED BLENDED WITH FUEL ETHANOL
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRSP11_M,PADD 1,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.M_EPOOXXFE_SKR_NUS_MBBL_M,US,OXYGENATES - RENEWABLES - OTHER HYDROCARBONS
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRSP31_A,PADD 3,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R3C_1_M,LOUISIANA GULF COAST,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R3C_1_A,LOUISIANA GULF COAST,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MG1RS_NUS_1_M,US,REFORMULATED BLENDED WITH FUEL ETHANOL
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRS_R3B_1_A,TEXAS GULF COAST,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRSP21_M,PADD 2,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.MGRRSP51_M,PADD 5,REFORMULATED
EIA_RFST,model://EIA_RFST/US.OIL.EIA.M_EPOOXXFE_SKR_R30_MBBL_M,PADD 3,OXYGENATES - RENEWABLES - OTHER HYDROCARBONS
